id,number,done,comment,id_wo_ex
351,3,1,,15_2
352,2,1,,15_2
353,1,1,,15_2
354,4,1,,15_23
355,3,1,,15_23
356,2,1,,15_23
357,1,1,,15_23
361,3,1,,16_1
362,2,1,,16_1
363,1,1,,16_1
367,3,1,,17_2
368,2,1,,17_2
369,1,1,,17_2
381,6,1,,18_1
382,5,1,,18_1
383,4,1,,18_1
384,3,1,,18_1
385,2,1,,18_1
386,1,1,,18_1
387,3,1,,18_5
388,2,1,,18_5
389,1,1,,18_5
390,2,1,,18_3
391,1,1,,18_3
397,5,1,,19_2
398,4,1,,19_2
399,3,1,,19_2
400,2,1,,19_2
401,1,1,,19_2
408,6,1,,20_3
409,5,1,,20_3
410,4,1,,20_3
411,3,1,,20_3
412,2,1,,20_3
413,1,1,,20_3
421,7,1,,21_2
422,6,1,,21_2
423,5,1,,21_2
424,4,1,,21_2
425,3,1,,21_2
426,2,1,,21_2
427,1,1,,21_2
437,8,1,,22_1
438,7,1,,22_1
439,6,1,,22_1
440,5,1,,22_1
441,4,1,,22_1
442,3,1,,22_1
443,2,1,,22_1
444,1,1,,22_1
454,10,1,,23_3
455,9,1,,23_3
456,8,1,,23_3
457,7,1,,23_3
458,6,1,,23_3
459,5,1,,23_3
460,4,1,,23_3
461,3,1,,23_3
462,2,1,,23_3
463,1,1,,23_3
475,11,1,,24_2
476,10,1,,24_2
477,9,1,,24_2
478,8,1,,24_2
479,7,1,,24_2
480,6,1,,24_2
481,5,1,,24_2
482,4,1,,24_2
483,3,1,,24_2
484,2,1,,24_2
485,1,1,,24_2
486,5,1,,24_8
487,4,1,,24_8
488,3,1,,24_8
489,2,1,,24_8
490,1,1,,24_8
491,4,1,,24_24
492,3,1,,24_24
493,2,1,,24_24
494,1,1,,24_24
495,4,1,Кроссовер слева,24_25
496,3,1,Кроссовер слева,24_25
497,2,1,Кроссовер слева,24_25
498,1,1,Кроссовер слева,24_25
508,7,1,,25_1
509,6,1,,25_1
510,5,1,,25_1
511,4,1,,25_1
512,3,1,,25_1
513,2,1,,25_1
514,1,1,,25_1
515,2,1,,25_3
516,1,1,,25_3
517,2,1,,25_26
518,1,1,,25_26
545,9,1,,26_2
546,8,1,,26_2
547,7,1,,26_2
548,6,1,,26_2
549,5,1,,26_2
550,4,1,,26_2
551,3,1,,26_2
552,2,1,,26_2
553,1,1,,26_2
554,4,1,,26_27
555,3,1,,26_27
556,2,1,,26_27
557,1,1,,26_27
558,4,1,,26_28
559,3,1,,26_28
560,2,1,,26_28
561,1,1,,26_28
580,8,1,,27_16
581,7,1,,27_16
582,6,1,,27_16
583,5,1,,27_16
584,4,1,,27_16
585,3,1,,27_16
586,2,1,,27_16
587,1,1,,27_16
588,2,1,,27_7
589,1,1,,27_7
590,4,1,,27_17
591,3,1,,27_17
592,2,1,,27_17
593,1,1,,27_17
594,4,1,,27_19
595,3,1,,27_19
596,2,1,,27_19
597,1,1,,27_19
598,4,1,,27_22
599,3,1,,27_22
600,2,1,,27_22
601,1,1,,27_22
613,9,1,,28_2
614,8,1,,28_2
615,7,1,,28_2
616,6,1,,28_2
617,5,1,,28_2
618,4,1,,28_2
619,3,1,,28_2
620,2,1,,28_2
621,1,1,,28_2
622,2,1,,28_27
623,1,1,,28_27
624,4,1,Кроссовер слева,28_25
625,3,1,Кроссовер слева,28_25
626,2,1,Кроссовер слева,28_25
627,1,1,Кроссовер слева,28_25
640,10,1,,29_1
641,9,1,,29_1
642,8,1,,29_1
643,7,1,,29_1
644,6,1,,29_1
645,5,1,,29_1
646,4,1,,29_1
647,3,1,,29_1
648,2,1,,29_1
649,1,1,,29_1
650,2,1,,29_3
651,1,1,,29_3
652,4,1,,29_5
653,3,1,,29_5
654,2,1,,29_5
655,1,1,,29_5
656,3,1,,29_11
657,2,1,,29_11
658,1,1,,29_11
679,7,1,,30_15
680,6,1,,30_15
681,5,1,,30_15
682,4,1,,30_15
683,3,1,,30_15
684,2,1,,30_15
685,1,1,,30_15
686,4,1,,30_2
687,3,1,,30_2
688,2,1,,30_2
689,1,1,,30_2
690,3,1,,30_17
691,2,1,,30_17
692,1,1,,30_17
693,3,1,,30_19
694,2,1,,30_19
695,1,1,,30_19
696,3,1,,30_22
697,2,1,,30_22
698,1,1,,30_22
745,4,1,,31_1
746,3,1,,31_1
747,2,1,,31_1
748,1,1,,31_1
749,6,1,,31_16
750,5,1,,31_16
751,4,1,,31_16
752,3,1,,31_16
753,2,1,,31_16
754,1,1,,31_16
755,2,1,,31_7
756,1,1,,31_7
773,8,1,,32_2
774,7,1,,32_2
775,6,1,,32_2
776,5,1,,32_2
777,4,1,,32_2
778,3,1,,32_2
779,2,1,,32_2
780,1,1,,32_2
781,4,1,Пауза 3 с,32_29
782,3,1,Пауза 3 с,32_29
783,2,1,Пауза 3 с,32_29
784,1,1,Пауза 3 с,32_29
785,4,1,,32_27
786,3,1,,32_27
787,2,1,,32_27
788,1,1,,32_27
789,4,1,,32_24
790,3,1,,32_24
791,2,1,,32_24
792,1,1,,32_24
793,3,1,,32_30
794,2,1,,32_30
795,1,1,,32_30
809,5,1,,33_1
810,4,1,,33_1
811,3,1,,33_1
812,2,1,,33_1
813,1,1,,33_1
814,4,1,,33_31
815,3,1,,33_31
816,2,1,,33_31
817,1,1,,33_31
818,4,1,,33_3
819,3,1,,33_3
820,2,1,,33_3
821,1,1,,33_3
840,7,1,,34_15
841,6,1,,34_15
842,5,1,,34_15
843,4,1,,34_15
844,3,1,,34_15
845,2,1,,34_15
846,1,1,,34_15
847,6,1,,34_2
848,5,1,,34_2
849,4,1,,34_2
850,3,1,,34_2
851,2,1,,34_2
852,1,1,,34_2
853,5,1,,34_32
854,4,1,,34_32
855,3,1,,34_32
856,2,1,,34_32
857,1,1,,34_32
858,4,1,,34_24
859,3,1,,34_24
860,2,1,,34_24
861,1,1,,34_24
862,3,1,,34_25
863,2,1,,34_25
864,1,1,Кроссовер справа,34_25
885,4,1,,35_1
886,3,1,,35_1
887,2,1,,35_1
888,1,1,,35_1
889,7,1,,35_3
890,6,1,,35_3
891,5,1,,35_3
892,4,1,,35_3
893,3,1,,35_3
894,2,1,,35_3
895,1,1,,35_3
896,3,1,,35_5
897,2,1,,35_5
898,1,1,,35_5
899,3,1,,35_11
900,2,1,,35_11
901,1,1,,35_11
927,4,1,,36_6
928,3,1,,36_6
929,2,1,,36_6
930,1,1,,36_6
931,2,1,,36_33
932,1,1,,36_33
933,3,1,,36_8
934,2,1,,36_8
935,1,1,,36_8
936,4,1,,36_14
937,3,1,,36_14
938,2,1,,36_14
939,1,1,,36_14
948,4,1,,37_4
949,3,1,,37_4
950,2,1,,37_4
951,1,1,,37_4
952,4,1,,37_35
953,3,1,,37_35
954,2,1,,37_35
955,1,1,,37_35
956,3,1,,37_18
957,2,1,,37_18
958,1,1,,37_18
959,4,1,,37_5
960,3,1,,37_5
961,2,1,,37_5
962,1,1,,37_5
978,5,1,,38_2
979,4,1,,38_2
980,3,1,,38_2
981,2,1,,38_2
982,1,1,,38_2
983,3,1,,38_27
984,2,1,,38_27
985,1,1,,38_27
986,2,1,,38_23
987,1,1,,38_23
988,3,1,,38_17
989,2,1,,38_17
990,1,1,,38_17
991,3,1,,38_19
992,2,1,,38_19
993,1,1,,38_19
994,3,1,,38_25
995,2,1,,38_25
996,1,1,Кроссовер справа,38_25
1004,5,1,,39_16
1005,4,1,,39_16
1006,3,1,,39_16
1007,2,1,,39_16
1008,1,1,,39_16
1009,2,1,,39_7
1010,1,1,,39_7
1021,7,1,,40_15
1022,6,1,,40_15
1023,5,1,,40_15
1024,4,1,,40_15
1025,3,1,,40_15
1026,2,1,,40_15
1027,1,1,,40_15
1028,5,1,,40_2
1029,4,1,,40_2
1030,3,1,,40_2
1031,2,1,,40_2
1032,1,1,,40_2
1033,4,1,,40_24
1034,3,1,,40_24
1035,2,1,,40_24
1036,1,1,,40_24
1037,4,1,,40_14
1038,3,1,,40_14
1039,2,1,,40_14
1040,1,1,,40_14
1056,4,1,,41_26
1057,3,1,,41_26
1058,2,1,,41_26
1059,1,1,,41_26
1060,4,1,,41_37
1061,3,1,,41_37
1062,2,1,,41_37
1063,1,1,,41_37
1064,4,1,,41_3
1065,3,1,,41_3
1066,2,1,,41_3
1067,1,1,,41_3
1068,3,1,,41_38
1069,2,1,,41_38
1070,1,1,,41_38
1087,4,1,,42_6
1088,3,1,,42_6
1089,2,1,,42_6
1090,1,1,,42_6
1091,4,1,,42_8
1092,3,1,,42_8
1093,2,1,,42_8
1094,1,1,,42_8
1095,4,1,,42_39
1096,3,1,,42_39
1097,2,1,,42_39
1098,1,1,,42_39
1099,2,1,,42_35
1100,1,1,,42_35
1101,2,1,,42_40
1102,1,1,,42_40
1103,4,1,,42_41
1104,3,1,,42_41
1105,2,1,,42_41
1106,1,1,С канатом кроссовер справа,42_41
1123,9,1,,43_1
1124,8,1,,43_1
1125,7,1,,43_1
1126,6,1,,43_1
1127,5,1,,43_1
1128,4,1,,43_1
1129,3,1,,43_1
1130,2,1,,43_1
1131,1,1,,43_1
1142,6,1,,44_15
1143,5,1,,44_15
1144,4,1,,44_15
1145,3,1,,44_15
1146,2,1,,44_15
1147,1,1,,44_15
1148,4,1,,44_2
1149,3,1,,44_2
1150,2,1,,44_2
1151,1,1,,44_2
1152,6,1,,44_20
1153,5,1,,44_20
1154,4,1,,44_20
1155,3,1,,44_20
1156,2,1,,44_20
1157,1,1,,44_20
1166,4,1,,45_31
1167,3,1,,45_31
1168,2,1,,45_31
1169,1,1,,45_31
1170,3,1,2 сек,45_42
1171,2,1,2 сек,45_42
1172,1,1,2 сек,45_42
1173,2,1,,45_3
1174,1,1,,45_3
1187,8,1,,46_15
1188,7,1,,46_15
1189,6,1,,46_15
1190,5,1,,46_15
1191,4,1,,46_15
1192,3,1,,46_15
1193,2,1,Без слинга,46_15
1194,1,1,Без слинга,46_15
1195,4,1,,46_2
1196,3,1,,46_2
1197,2,1,,46_2
1198,1,1,,46_2
1199,4,1,,46_25
1200,3,1,,46_25
1201,2,1,,46_25
1202,1,1,Кроссовер справа,46_25
1206,3,1,,47_3
1207,2,1,,47_3
1208,1,1,,47_3
1223,6,1,3 сек,48_29
1224,5,1,3 сек,48_29
1225,4,1,3 сек,48_29
1226,3,1,3 сек,48_29
1227,2,1,3 сек,48_29
1228,1,1,3 сек,48_29
1229,3,1,,48_27
1230,2,1,,48_27
1231,1,1,,48_27
1232,5,1,,48_8
1233,4,1,,48_8
1234,3,1,,48_8
1235,2,1,,48_8
1236,1,1,,48_8
1237,5,1,,48_20
1238,4,1,,48_20
1239,3,1,,48_20
1240,2,1,,48_20
1241,1,1,,48_20
1252,2,1,Пауза 4 с,49_42
1253,1,1,Пауза 4 с,49_42
1254,8,1,,49_3
1255,7,1,,49_3
1256,6,1,,49_3
1257,5,1,,49_3
1258,4,1,,49_3
1259,3,1,,49_3
1260,2,1,,49_3
1261,1,1,,49_3
1262,5,1,,50_2
1263,4,1,,50_2
1264,3,1,,50_2
1265,2,1,,50_2
1266,1,1,,50_2
1267,2,1,,50_23
1268,1,1,,50_23
1269,3,1,Кроссовер справа,50_25
1270,2,1,Кроссовер справа,50_25
1271,1,1,Кроссовер справа,50_25
1280,4,1,,51_4
1281,3,1,,51_4
1282,2,1,,51_4
1283,1,1,,51_4
1284,4,1,,51_3
1285,3,1,,51_3
1286,2,1,,51_3
1287,1,1,,51_3
1301,5,1,,52_2
1302,4,1,,52_2
1303,3,1,,52_2
1304,2,1,,52_2
1305,1,1,,52_2
1306,4,1,,52_24
1307,3,1,,52_24
1308,2,1,,52_24
1309,1,1,,52_24
1310,3,1,,52_35
1311,2,1,,52_35
1312,1,1,,52_35
1322,4,1,,53_1
1323,3,1,,53_1
1324,2,1,,53_1
1325,1,1,,53_1
1326,5,1,,53_2
1327,4,1,,53_2
1328,3,1,,53_2
1329,2,1,,53_2
1330,1,1,,53_2
1331,4,1,,53_17
1332,3,1,,53_17
1333,2,1,,53_17
1334,1,1,,53_17
1335,4,1,,53_22
1336,3,1,,53_22
1337,2,1,,53_22
1338,1,1,,53_22
1351,4,1,,54_1
1352,3,1,,54_1
1353,2,1,,54_1
1354,1,1,,54_1
1355,4,1,,54_16
1356,3,1,,54_16
1357,2,1,,54_16
1358,1,1,,54_16
1359,4,1,,54_43
1360,3,1,,54_43
1361,2,1,,54_43
1362,1,1,,54_43
1383,7,1,,55_2
1384,6,1,,55_2
1385,5,1,,55_2
1386,4,1,,55_2
1387,3,1,,55_2
1388,2,1,,55_2
1389,1,1,,55_2
1390,5,1,,55_27
1391,4,1,,55_27
1392,3,1,,55_27
1393,2,1,,55_27
1394,1,1,,55_27
1395,4,1,,55_8
1396,3,1,,55_8
1397,2,1,,55_8
1398,1,1,,55_8
1399,4,1,,55_24
1400,3,1,,55_24
1401,2,1,,55_24
1402,1,1,,55_24
1403,4,1,,55_25
1404,3,1,,55_25
1405,2,1,,55_25
1406,1,1,Кросс справа,55_25
1425,3,1,,56_31
1426,2,1,,56_31
1427,1,1,,56_31
1428,9,1,,56_16
1429,8,1,,56_16
1430,7,1,,56_16
1431,6,1,,56_16
1432,5,1,,56_16
1433,4,1,,56_16
1434,3,1,,56_16
1435,2,1,,56_16
1436,1,1,,56_16
1437,5,1,,56_7
1438,4,1,,56_7
1439,3,1,,56_7
1440,2,1,,56_7
1441,1,1,,56_7
1455,5,1,,57_33
1456,4,1,,57_33
1457,3,1,,57_33
1458,2,1,,57_33
1459,1,1,,57_33
1460,4,1,,57_6
1461,3,1,,57_6
1462,2,1,,57_6
1463,1,1,,57_6
1464,4,1,,57_8
1465,3,1,,57_8
1466,2,1,,57_8
1467,1,1,,57_8
1468,4,1,,57_44
1469,3,1,,57_44
1470,2,1,,57_44
1471,1,1,,57_44
1487,7,1,,58_31
1488,6,1,,58_31
1489,5,1,,58_31
1490,4,1,,58_31
1491,3,1,,58_31
1492,2,1,,58_31
1493,1,1,,58_31
1494,5,1,,58_42
1495,4,1,,58_42
1496,3,1,,58_42
1497,2,1,,58_42
1498,1,1,,58_42
1499,3,1,,58_3
1500,2,1,,58_3
1501,1,1,,58_3
1524,3,1,,59_45
1525,2,1,,59_45
1526,1,1,,59_45
1527,7,1,,59_2
1528,6,1,,59_2
1529,5,1,,59_2
1530,4,1,,59_2
1531,3,1,,59_2
1532,2,1,,59_2
1533,1,1,,59_2
1534,4,1,,59_32
1535,3,1,,59_32
1536,2,1,,59_32
1537,1,1,,59_32
1538,4,1,,59_39
1539,3,1,,59_39
1540,2,1,,59_39
1541,1,1,,59_39
1542,4,1,,59_14
1543,3,1,,59_14
1544,2,1,,59_14
1545,1,1,,59_14
1559,7,1,,60_1
1560,6,1,,60_1
1561,5,1,,60_1
1562,4,1,,60_1
1563,3,1,,60_1
1564,2,1,,60_1
1565,1,1,,60_1
1566,3,1,,60_43
1567,2,1,,60_43
1568,1,1,,60_43
1569,3,1,,60_3
1570,2,1,,60_3
1571,1,1,,60_3
1591,9,1,,61_29
1592,8,1,,61_29
1593,7,1,,61_29
1594,6,1,,61_29
1595,5,1,,61_29
1596,4,1,,61_29
1597,3,1,2с,61_29
1598,2,1,2с,61_29
1599,1,1,2с,61_29
1600,3,1,,61_23
1601,2,1,,61_23
1602,1,1,,61_23
1603,4,1,,61_32
1604,3,1,,61_32
1605,2,1,,61_32
1606,1,1,,61_32
1607,3,1,,61_39
1608,2,1,,61_39
1609,1,1,,61_39
1617,3,1,,62_42
1618,2,1,,62_42
1619,1,1,,62_42
1620,3,1,,62_16
1621,2,1,,62_16
1622,1,1,,62_16
1623,1,1,,62_7
1645,9,1,,63_29
1646,8,1,,63_29
1647,7,1,,63_29
1648,6,1,,63_29
1649,5,1,,63_29
1650,4,1,,63_29
1651,3,1,,63_29
1652,2,1,,63_29
1653,1,1,3 с пауза,63_29
1654,4,1,,63_8
1655,3,1,,63_8
1656,2,1,,63_8
1657,1,1,,63_8
1658,3,1,,63_46
1659,2,1,,63_46
1660,1,1,,63_46
1661,3,1,,63_47
1662,2,1,,63_47
1663,1,1,,63_47
1664,2,1,,63_25
1665,1,1,,63_25
1685,6,1,,64_1
1686,5,1,,64_1
1687,4,1,,64_1
1688,3,1,,64_1
1689,2,1,,64_1
1690,1,1,,64_1
1691,2,1,,64_7
1692,1,1,,64_7
1693,3,1,,64_38
1694,2,1,,64_38
1695,1,1,,64_38
1711,9,1,,65_29
1712,8,1,,65_29
1713,7,1,,65_29
1714,6,1,,65_29
1715,5,1,,65_29
1716,4,1,,65_29
1717,3,1,,65_29
1718,2,1,,65_29
1719,1,1,2 сек,65_29
1720,3,1,,65_46
1721,2,1,,65_46
1722,1,1,,65_46
1723,3,1,,65_24
1724,2,1,,65_24
1725,1,1,,65_24
1726,4,1,,65_17
1727,3,1,,65_17
1728,2,1,,65_17
1729,1,1,,65_17
1730,4,1,,65_48
1731,3,1,,65_48
1732,2,1,,65_48
1733,1,1,,65_48
1745,7,1,,66_1
1746,6,1,,66_1
1747,5,1,,66_1
1748,4,1,,66_1
1749,3,1,,66_1
1750,2,1,,66_1
1751,1,1,,66_1
1752,4,1,,66_7
1753,3,1,,66_7
1754,2,1,,66_7
1755,1,1,,66_7
1756,3,1,,66_49
1757,2,1,,66_49
1758,1,1,,66_49
1759,3,1,,66_18
1760,2,1,,66_18
1761,1,1,,66_18
1782,9,1,,67_29
1783,8,1,,67_29
1784,7,1,,67_29
1785,6,1,,67_29
1786,5,1,,67_29
1787,4,1,,67_29
1788,3,1,,67_29
1789,2,1,,67_29
1790,1,1,3с,67_29
1791,4,1,,67_9
1792,3,1,,67_9
1793,2,1,,67_9
1794,1,1,,67_9
1795,4,1,,67_32
1796,3,1,,67_32
1797,2,1,,67_32
1798,1,1,,67_32
1799,3,1,,67_24
1800,2,1,,67_24
1801,1,1,,67_24
1802,3,1,,67_25
1803,2,1,,67_25
1804,1,1,Кросс справа,67_25
1825,9,1,,68_1
1826,8,1,,68_1
1827,7,1,,68_1
1828,6,1,,68_1
1829,5,1,,68_1
1830,4,1,,68_1
1831,3,1,,68_1
1832,2,1,,68_1
1833,1,1,,68_1
1834,3,1,,68_26
1835,2,1,,68_26
1836,1,1,,68_26
1837,3,1,,68_37
1838,2,1,,68_37
1839,1,1,,68_37
1840,4,1,,68_38
1841,3,1,,68_38
1842,2,1,,68_38
1843,1,1,,68_38
1844,1,1,,68_3
1867,9,1,,69_29
1868,8,1,,69_29
1869,7,1,,69_29
1870,6,1,,69_29
1871,5,1,,69_29
1872,4,1,,69_29
1873,3,1,,69_29
1874,2,1,,69_29
1875,1,1,3с пауза,69_29
1876,4,1,,69_45
1877,3,1,,69_45
1878,2,1,,69_45
1879,1,1,,69_45
1880,3,1,,69_17
1881,2,1,,69_17
1882,1,1,,69_17
1883,3,1,,69_19
1884,2,1,,69_19
1885,1,1,,69_19
1886,3,1,,69_22
1887,2,1,,69_22
1888,1,1,,69_22
1900,7,1,,70_16
1901,6,1,,70_16
1902,5,1,,70_16
1903,4,1,,70_16
1904,3,1,,70_16
1905,2,1,,70_16
1906,1,1,,70_16
1907,3,1,,70_7
1908,2,1,,70_7
1909,1,1,,70_7
1910,1,1,,70_1
1926,9,1,,71_29
1927,8,1,,71_29
1928,7,1,,71_29
1929,6,1,,71_29
1930,5,1,,71_29
1931,4,1,,71_29
1932,3,1,,71_29
1933,2,1,,71_29
1934,1,1,Пауза 2с,71_29
1935,3,1,,71_46
1936,2,1,,71_46
1937,1,1,,71_46
1938,3,1,,71_44
1939,2,1,,71_44
1940,1,1,,71_44
1946,5,1,,72_4
1947,4,1,,72_4
1948,3,1,,72_4
1949,2,1,,72_4
1950,1,1,,72_4
1951,4,1,,72_17
1952,3,1,,72_17
1953,2,1,,72_17
1954,1,1,,72_17
1955,4,1,,72_5
1956,3,1,,72_5
1957,2,1,,72_5
1958,1,1,,72_5
1985,9,1,,73_29
1986,8,1,,73_29
1987,7,1,,73_29
1988,6,1,,73_29
1989,5,1,,73_29
1990,4,1,,73_29
1991,3,1,,73_29
1992,2,1,,73_29
1993,1,1,Пауза 2с,73_29
1994,4,1,,73_9
1995,3,1,,73_9
1996,2,1,,73_9
1997,1,1,45 град,73_9
1998,3,1,,73_35
1999,2,1,,73_35
2000,1,1,,73_35
2001,3,1,,73_40
2002,2,1,,73_40
2003,1,1,,73_40
2004,4,1,,73_22
2005,3,1,,73_22
2006,2,1,,73_22
2007,1,1,,73_22
2013,3,1,,74_51
2014,2,1,,74_51
2015,1,1,Две паузы,74_51
2016,1,1,,74_3
2017,1,1,,74_7
2031,7,1,,75_15
2032,6,1,,75_15
2033,5,1,,75_15
2034,4,1,,75_15
2035,3,1,,75_15
2036,2,1,,75_15
2037,1,1,,75_15
2038,3,1,Тяжело,75_14
2039,2,1,,75_14
2040,1,1,,75_14
2041,3,1,,75_25
2042,2,1,,75_25
2043,1,1,Справа,75_25
2051,5,1,,76_1
2052,4,1,,76_1
2053,3,1,,76_1
2054,2,1,,76_1
2055,1,1,,76_1
2056,2,1,,76_3
2057,1,1,,76_3
2058,3,1,,76_5
2059,2,1,,76_5
2060,1,1,,76_5
2067,5,1,,77_3
2068,4,1,,77_3
2069,3,1,,77_3
2070,2,1,,77_3
2071,1,1,,77_3
2072,1,1,,77_1
2090,9,1,,78_29
2091,8,1,,78_29
2092,7,1,,78_29
2093,6,1,,78_29
2094,5,1,,78_29
2095,4,1,,78_29
2096,3,1,,78_29
2097,2,1,,78_29
2098,1,1,3 с,78_29
2099,2,1,,78_23
2100,1,1,,78_23
2101,4,1,,78_53
2102,3,1,,78_53
2103,2,1,,78_53
2104,1,1,,78_53
2105,2,1,,78_39
2106,1,1,,78_39
2125,3,1,,79_1
2126,2,1,,79_1
2127,1,1,,79_1
2128,5,1,,79_2
2129,4,1,,79_2
2130,3,1,,79_2
2131,2,1,,79_2
2132,1,1,,79_2
2139,3,1,,80_2
2140,2,1,,80_2
2141,1,1,,80_2
2142,3,1,,80_7
2143,2,1,,80_7
2144,1,1,,80_7
2145,2,1,,80_26
2146,1,1,,80_26
2147,3,1,,80_37
2148,2,1,,80_37
2149,1,1,,80_37
2172,3,1,,81_2
2173,2,1,,81_2
2174,1,1,,81_2
2175,3,1,,81_7
2176,2,1,,81_7
2177,1,1,,81_7
2178,3,1,,81_43
2179,2,1,,81_43
2180,1,1,,81_43
2181,3,1,,81_37
2182,2,1,,81_37
2183,1,1,,81_37
2184,4,1,,82_23
2185,3,1,,82_23
2186,2,1,,82_23
2187,1,1,,82_23
2188,3,1,,82_17
2189,2,1,,82_17
2190,1,1,,82_17
2191,3,1,,82_4
2192,2,1,,82_4
2193,1,1,,82_4
2194,2,1,,82_41
2195,1,1,,82_41
2221,4,1,,83_23
2222,3,1,,83_23
2223,2,1,,83_23
2224,1,1,,83_23
2225,3,1,,83_17
2226,2,1,,83_17
2227,1,1,,83_17
2228,3,1,,83_4
2229,2,1,,83_4
2230,1,1,,83_4
2231,3,1,,83_41
2232,2,1,,83_41
2233,1,1,,83_41
2234,3,1,,83_25
2235,2,1,,83_25
2236,1,1,,83_25
2254,8,1,,84_2
2255,7,1,,84_2
2256,6,1,,84_2
2257,5,1,,84_2
2258,4,1,,84_2
2259,3,1,,84_2
2260,2,1,,84_2
2261,1,1,,84_2
2262,3,1,,84_9
2263,2,1,,84_9
2264,1,1,,84_9
2265,2,1,,84_32
2266,1,1,,84_32
2267,4,1,,84_24
2268,3,1,,84_24
2269,2,1,,84_24
2270,1,1,,84_24
2271,4,1,,84_25
2272,3,1,,84_25
2273,2,1,,84_25
2274,1,1,,84_25
2290,4,1,,85_4
2291,3,1,,85_4
2292,2,1,,85_4
2293,1,1,,85_4
2294,3,1,,85_26
2295,2,1,,85_26
2296,1,1,,85_26
2297,3,1,,85_37
2298,2,1,,85_37
2299,1,1,,85_37
2300,2,1,,85_3
2301,1,1,,85_3
2302,3,1,,85_5
2303,2,1,,85_5
2304,1,1,,85_5
2331,8,1,,86_2
2332,7,1,,86_2
2333,6,1,,86_2
2334,5,1,,86_2
2335,4,1,,86_2
2336,3,1,,86_2
2337,2,1,,86_2
2338,1,1,,86_2
2339,2,1,,86_33
2340,1,1,,86_33
2341,1,1,,86_23
2342,3,1,,86_24
2343,2,1,,86_24
2344,1,1,,86_24
2345,3,1,,86_46
2346,2,1,,86_46
2347,1,1,,86_46
2348,3,1,,86_35
2349,2,1,,86_35
